ASN,UnSpoofable IP,NAT-Blocking IP,Spoof IP
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=5378"" target=""_blank"" style=""color:159124;"">5378</a>",41,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8435"" target=""_blank"" style=""color:f7602a;"">8435</a>",0,0,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=9142"" target=""_blank"" style=""color:f7602a;"">9142</a>",0,0,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=15395"" target=""_blank"" style=""color:f7602a;"">15395</a>",0,0,2
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=205892"" target=""_blank"" style=""color:159124;"">205892</a>",0,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=11857 "" target=""_blank"" style=""color:159124;"">11857 (AEGON)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12222 "" target=""_blank"" style=""color:159124;"">12222 (AKAMAI)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12390 "" target=""_blank"" style=""color:159124;"">12390 (KINGSTON-UK-AS)</a>",2,2,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12496 "" target=""_blank"" style=""color:159124;"">12496 (IDNET)</a>",1,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12513 "" target=""_blank"" style=""color:159124;"">12513 (ECLIPSE)</a>",4,3,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12576 "" target=""_blank"" style=""color:159124;"">12576 (ORANGE-PCS)</a>",8,58,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12684 "" target=""_blank"" style=""color:159124;"">12684 (SES-LUX-AS)</a>",0,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12703 "" target=""_blank"" style=""color:159124;"">12703 (PULSANT-AS)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12708 "" target=""_blank"" style=""color:159124;"">12708 (OneTel-AS)</a>",0,2,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=1273 "" target=""_blank"" style=""color:159124;"">1273 (CW)</a>",3,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12989 "" target=""_blank"" style=""color:159124;"">12989 (HWNG)</a>",3,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13037 "" target=""_blank"" style=""color:159124;"">13037 (ZEN-AS)</a>",13,3,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13213 "" target=""_blank"" style=""color:159124;"">13213 (UK2NET-AS)</a>",8,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13285 "" target=""_blank"" style=""color:f7602a;"">13285 (OPALTELECOM-AS)</a>",6,106,3
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=14061 "" target=""_blank"" style=""color:159124;"">14061 (DIGITALOCEAN-ASN)</a>",4,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16082 "" target=""_blank"" style=""color:f7602a;"">16082 (SPITFIRE)</a>",0,0,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16276 "" target=""_blank"" style=""color:159124;"">16276 (OVH)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16353 "" target=""_blank"" style=""color:159124;"">16353 (Merula)</a>",0,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=174 "" target=""_blank"" style=""color:159124;"">174 (COGENT-174)</a>",0,2,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=198781 "" target=""_blank"" style=""color:159124;"">198781 (G3NS)</a>",0,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=199335 "" target=""_blank"" style=""color:159124;"">199335 (TALKSTRAIGHT)</a>",1,0,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=199631 "" target=""_blank"" style=""color:159124;"">199631 (WIGHTFIBRE)</a>",1,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=199775 "" target=""_blank"" style=""color:159124;"">199775 (Connexin-Limited)</a>",0,1,0
